FIPS,county,south,unit,pop_unit
18001,adams,0,0,0
18003,allen,0,0,0
18005,bartholomew,1,1,1
18007,benton,0,0,0
18009,blackford,0,0,0
18011,boone,0,0,0
18013,brown,1,1,2
18015,carroll,0,0,0
18017,cass,0,0,0
18019,clark,1,1,1
18021,clay,1,1,8
18023,clinton,0,0,0
18025,crawford,1,1,1
18027,daviess,1,1,107
18029,dearborn,1,0,0
18031,decatur,1,0,0
18033,de kalb,0,0,0
18035,delaware,0,0,0
18037,dubois,1,1,12
18039,elkhart,0,0,0
18041,fayette,1,0,0
18043,floyd,1,0,0
18045,fountain,0,1,1
18047,franklin,1,0,0
18049,fulton,0,0,0
18051,gibson,1,1,1
18053,grant,0,0,0
18055,greene,1,1,126
18057,hamilton,0,0,0
18059,hancock,1,0,0
18061,harrison,1,0,0
18063,hendricks,1,1,1
18065,henry,0,0,0
18067,howard,0,0,0
18069,huntington,0,0,0
18071,jackson,1,1,1
18073,jasper,0,0,0
18075,jay,0,0,0
18077,jefferson,1,1,1
18079,jennings,1,0,0
18081,johnson,1,1,3
18083,knox,1,1,11
18085,kosciusko,0,0,0
18087,la grange,0,0,0
18089,lake,0,0,0
18091,la porte,0,0,0
18093,lawrence,1,1,187
18095,madison,0,0,0
18097,marion,1,1,2
18099,marshall,0,0,0
18101,martin,1,1,158
18103,miami,0,0,0
18105,monroe,1,1,79
18107,montgomery,0,0,0
18109,morgan,1,0,0
18111,newton,0,0,0
18113,noble,0,0,0
18115,ohio,1,0,0
18117,orange,1,1,16
18119,owen,1,1,18
18121,parke,1,0,0
18123,perry,1,1,1
18125,pike,1,1,4
18127,porter,0,0,0
18129,posey,1,0,0
18131,pulaski,0,0,0
18133,putnam,1,0,0
18135,randolph,0,0,0
18137,ripley,1,0,0
18139,rush,1,0,0
18141,st joseph,0,0,0
18143,scott,1,0,0
18145,shelby,1,0,0
18147,spencer,1,0,0
18149,starke,0,0,0
18151,steuben,0,0,0
18153,sullivan,1,1,8
18155,switzerland,1,0,0
18157,tippecanoe,0,0,0
18159,tipton,0,0,0
18161,union,1,0,0
18163,vanderburgh,1,1,2
18165,vermillion,1,0,0
18167,vigo,1,1,1
18169,wabash,0,0,0
18171,warren,0,0,0
18173,warrick,1,0,0
18175,washington,1,1,3
18177,wayne,0,1,1
18179,wells,0,0,0
18181,white,0,0,0
18183,whitley,0,0,0
