food,1998,2004,2006,2008,income
"Fruit, total",18.40,17.99,16.19,15.69,low
"Apples, total",3.78,3.78,3.76,3.89,low
Apples ,2.09,1.64,1.35,1.41,low
Apple juice1,1.67,2.05,2.27,2.51,low
Bananas,0.72,0.64,0.47,0.71,low
Berries,0.50,0.44,0.49,0.66,low
Grapes,1.07,0.72,0.93,0.73,low
Melons,0.68,0.88,0.41,0.65,low
"Oranges, total",7.08,6.85,6.06,4.92,low
Oranges ,0.79,0.39,0.36,0.38,low
Orange juice2,6.32,6.39,5.66,4.54,low
Other citrus fruits,1.17,1.25,0.83,1.45,low
Stone fruits,1.01,0.70,0.95,0.74,low
Tropical fruits,1.29,1.09,1.39,1.12,low
"Vegetables, total",53.11,61.23,51.60,51.39,low
"Brassica, total",2.06,2.61,1.92,2.20,low
Broccoli and cauliflower,0.84,1.28,0.78,0.98,low
Carrots,0.95,0.84,0.77,0.65,low
Celery,0.62,0.55,0.68,0.49,low
Cucumbers,0.57,0.73,0.47,0.72,low
Green peas,0.39,0.25,0.32,0.39,low
"Leafy vegetables, total",0.12,0.27,0.28,0.25,low
Lettuce,4.25,5.27,4.54,4.64,low
Onions,2.28,2.81,2.75,2.68,low
Peppers,1.96,2.39,2.48,2.65,low
Tomatoes,8.37,10.96,9.74,9.95,low
Sweet corn,1.69,1.38,1.58,0.99,low
Potatoes,27.74,30.10,22.34,22.73,low
Snap beans,0.80,0.78,0.75,0.64,low
"Legumes, dried",1.41,1.25,1.40,1.29,low
"Dairy, total",50.47,34.77,35.64,37.49,low
"Fluid milk, total3",32.64,18.04,19.74,19.95,low
"Fluid milk, 1-percent fat3",2.42,2.29,2.60,2.20,low
"Fluid milk, 2-percent fat3",9.52,5.03,5.64,6.53,low
"Fluid milk, skim3",4.94,2.02,2.55,2.46,low
"Fluid milk, whole3",13.07,6.92,6.69,6.37,low
Butter,0.74,0.44,0.42,0.47,low
Cheese,6.15,8.02,7.29,8.46,low
Yogurt,0.21,0.54,0.36,0.44,low
"Dairy, other",1.36,2.48,2.09,2.39,low
"Meat, poultry, and fish, total",48.01,49.87,49.69,50.47,low
"Meat, total",28.35,26.48,25.41,26.07,low
Beef,19.03,17.85,17.23,17.41,low
Pork,7.72,7.64,7.35,7.70,low
"Poultry, total",16.64,21.17,22.55,21.87,low
Chicken,14.72,19.48,20.77,19.87,low
Turkey,1.87,1.54,1.41,1.75,low
Finfish and shellfish,3.04,2.66,2.43,2.78,low
Eggs4,4.29,4.12,4.47,4.37,low
"Grains, total",33.30,37.43,36.60,36.80,low
Corn flour,2.13,2.55,2.43,2.54,low
Oat flour,0.22,0.12,0.16,0.09,low
"Rice, dried",1.99,2.34,2.65,2.55,low
Wheat flour,28.05,30.93,29.72,30.20,low
"Fat and oils, total",15.81,22.92,21.05,22.48,low
Margarine,1.14,0.80,0.60,0.54,low
Salad and cooking oils,5.41,10.52,10.07,13.36,low
Shortening,4.41,7.11,5.70,3.83,low
"Oils, other",0.75,0.14,0.19,0.19,low
Caloric sweeteners,26.00,22.48,22.29,20.94,low
"Nuts, total",0.83,0.85,0.61,0.66,low
Peanuts,0.60,0.63,0.43,0.51,low
Tree nuts,0.25,0.21,0.17,0.15,low
"Fruit, total",18.19,16.18,15.48,16.15,high
"Apples, total",3.83,3.01,3.50,3.19,high
Apples ,2.01,1.39,1.72,1.37,high
Apple juice1,1.78,1.58,1.76,1.80,high
Bananas,0.74,0.56,0.65,0.67,high
Berries,0.90,0.78,0.62,0.81,high
Grapes,0.97,0.94,0.73,1.14,high
Melons,0.90,0.95,0.69,0.87,high
"Oranges, total",5.57,4.99,5.01,5.02,high
Oranges ,0.34,0.29,0.29,0.20,high
Orange juice2,5.17,4.65,4.68,4.81,high
Other citrus fruits,1.93,2.03,1.42,1.94,high
Stone fruits,1.08,0.92,0.72,0.55,high
Tropical fruits,1.49,1.07,1.28,0.94,high
"Vegetables, total",69.02,75.43,72.25,66.31,high
"Brassica, total",2.65,2.84,2.93,2.89,high
Broccoli and cauliflower,1.14,1.31,1.34,1.34,high
Carrots,1.58,1.19,1.02,1.01,high
Celery,1.08,1.00,0.78,0.64,high
Cucumbers,0.77,0.77,0.77,0.92,high
Green peas,0.41,0.37,0.35,0.32,high
"Leafy vegetables, total",0.22,0.46,0.56,0.45,high
Lettuce,7.98,9.01,8.78,7.75,high
Onions,3.15,4.32,3.98,3.68,high
Peppers,2.44,4.19,4.24,3.24,high
Tomatoes,11.37,14.00,13.39,12.52,high
Sweet corn,1.81,1.38,1.40,1.45,high
Potatoes,32.59,30.62,30.35,26.91,high
Snap beans,0.83,1.09,1.16,1.07,high
"Legumes, dried",1.97,2.04,2.18,1.90,high
"Dairy, total",43.40,35.77,37.58,40.47,high
"Fluid milk, total3",24.59,17.00,17.59,19.51,high
"Fluid milk, 1-percent fat3",1.99,1.82,1.58,2.12,high
"Fluid milk, 2-percent fat3",7.16,4.18,4.64,5.66,high
"Fluid milk, skim3",4.39,2.95,3.14,2.98,high
"Fluid milk, whole3",8.74,6.01,6.00,6.22,high
Butter,0.80,0.80,0.68,0.83,high
Cheese,8.04,9.30,9.95,10.12,high
Yogurt,0.59,0.67,0.52,0.87,high
"Dairy, other",1.99,3.51,4.38,4.03,high
"Meat, poultry, and fish, total",55.17,65.04,65.35,60.65,high
"Meat, total",30.48,32.14,32.78,29.72,high
Beef,19.45,20.70,21.35,19.14,high
Pork,10.01,10.26,10.67,9.83,high
"Poultry, total",20.09,28.16,29.53,26.74,high
Chicken,17.66,25.39,26.69,24.20,high
Turkey,2.21,2.68,2.47,2.10,high
Finfish and shellfish,4.33,4.70,3.67,4.10,high
Eggs4,5.61,6.43,6.72,6.09,high
"Grains, total",40.66,44.83,46.74,44.02,high
Corn flour,2.65,2.99,3.38,3.21,high
Oat flour,0.16,0.10,0.11,0.14,high
"Rice, dried",2.78,3.49,3.66,3.39,high
Wheat flour,33.81,36.26,37.48,35.35,high
"Fat and oils, total",19.95,27.86,28.18,27.81,high
Margarine,1.45,1.07,0.90,0.83,high
Salad and cooking oils,7.51,12.58,13.61,16.04,high
Shortening,5.11,8.33,7.12,4.65,high
"Oils, other",0.78,0.22,0.26,0.28,high
Caloric sweeteners,28.68,25.13,26.02,23.88,high
"Nuts, total",1.45,1.16,1.01,0.98,high
Peanuts,0.98,0.86,0.58,0.59,high
Tree nuts,0.51,0.28,0.41,0.39,high
